Age UK,ageUK,Age UK,officeOfThePublicGuardian.lastingPowersOfAttorney,structured,,
banks,banks,Banks,officeOfThePublicGuardian.lastingPowersOfAttorney,structured,,
bond providers,bondProviders,Bond Providers,officeOfThePublicGuardian.deputyships,structured,closed,
border force,borderForce,Border Force,,structured,closed,
Children and Family Court Advisory and Support Service,childrenAndFamilyCourtAdvisoryAndSupportService,Children and Family Court Advisory and Support Service,,structured,,
street CCTV,clg.streetCCTV,CLG,police.multimediaEvidence,unstructured,shared,
Costs Draftsmen,costsDraftsmen,Costs Draftsmen,,structured,closed,
anticipated plea,cps.anticipatedPlea,CPS,,structured,closed,
bail recommendation,cps.bailRecommendation,CPS,,structured,closed,
bail/remand details,cps.bailRemandDetails,CPS,,structured,closed,
charging decision,cps.chargingDecision,CPS,,structured,closed,
evidence,cps.criminalCase.evidence,CPS,"otherProsecutingAuthorities, defenseFirms",structured,shared,
IDPC,cps.criminalCase.IDPC,CPS,"otherProsecutingAuthorities, defenseFirms",structured,shared,
prosecutor view,cps.criminalCase.prosecutorView,CPS,"otherProsecutingAuthorities, defenseFirms",structured,shared,
pre-hearing information,cps.preHearingInformation,CPS,,structured,closed,
cases,criminalInjuriesCompensationAuthority.cases,Criminal Injuries Compensation Authority,,structured,,TARIIF
workflows and processes,criminalInjuriesCompensationAuthority.workflowsAndProcesses,Criminal Injuries Compensation Authority,,structured,closed,Tempest
Crown Office in Scotland,crownOfficeInScotland,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Debt Collection Agencies,debtCollectionAgencies,Debt Collection Agencies,,structured,,
Defense Firms,defenseFirms,Defense Firms,"laa.caseInformation, laa.legalAidSuppliers",structured,,
drivers,dvla.drivers,DVLA,"police.national.vehiclesUsedInCrime, police.national.disqualifiedDrivers ",structured,shared,
stolen vehicles,dvla.stolenVehicles,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
vehicle registry ,dvla.vehicleRegistry ,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
benefits,dwp.benefits,DWP,,structured,,
Education Provider,educationProviders,Education Provider,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, youthOffendingTeams, NHS.medicalRecords, localAuthorities",structured,shared,
alerts,european.alerts,European,,structured,,
EU27 / IS + NO + CH + LI,european.EU27,European,,structured,,
EU convictions of UK Nationals,european.EUConvictionsOfUKNationals,European,,structured,,
persons ,european.persons,European,,structured,,
property ,european.property,European,,structured,,
SISII,european.SISII,European,,structured,,
travel docs,european.travelDocuments,European,,structured,,
Financial Conduct Authority,financialConductAuthority,Financial Conduct Authority,,structured,,
action plans,hmcts.actionPlans,HMCTS,hmcts.preChargeRequestsAndDecisions,structured,closed,
applications,hmcts.applications,HMCTS,"otherProsecutingAuthorities, defenseFirms",structured,shared,
blocks,hmcts.blocks,HMCTS,,structured,closed,
cases,hmcts.cases,HMCTS,"hmcts.actionPlans, hmcts.materials, hmcts.indictments, hmcts.defendants",structured,shared,
"charges, charge counts",hmcts.chargesChargeCounts,HMCTS,,structured,closed,
court buildings,hmcts.courtBuildings,HMCTS,,structured,closed,
court logs,hmcts.courtLogs,HMCTS,,structured,closed,
court rooms,hmcts.courtRooms,HMCTS,hmcts.courtBuildings,structured,closed,
crown court reporting,hmcts.crownCourtReporting,HMCTS,police,structured,shared,
defendants,hmcts.defendants,HMCTS,hmcts.persons,structured,closed,
discharges,hmcts.discharges,HMCTS,,structured,shared,
disqualifications,hmcts.disqualifications,HMCTS,,structured,shared,
facilities,hmcts.facilities,HMCTS,hmcts.courtRooms,structured,closed,
fines & payment terms,hmcts.finesAndPaymentTerms,HMCTS,,structured,shared,
hearings ,hmcts.hearings,HMCTS,"police, yjb, hmcts.unscheduledList, hmcts.sessions",structured,shared,
indictments,hmcts.indictments,HMCTS,,structured,closed,
investigator,hmcts.investigator,HMCTS,,structured,closed,
jurors,hmcts.jurors,HMCTS,,structured,closed,SUSP Juror
magistrate's court interface,hmcts.magistratesCourtInterface,HMCTS,police.national.disposals,structured,shared,
materials,hmcts.materials,HMCTS,,structured,closed,
offence instances,hmcts.offenceInstances,HMCTS,hmcts.indictments,structured,closed,
offences,hmcts.offences,HMCTS,hmcts.offenceInstances,structured,closed,
orders,hmcts.orders,HMCTS,police.national.disposals,structured,shared,
